embedding_vector,created_at,updated_at
"-0.036848483877358174,-0.3428673072743611,0.05621347893855999,0.584991919630983,0.4138686206597333,-0.9269561851411225,0.13839371959012814,0.24607490105911833,0.15296476607180765,0.8019050972193225",2024-09-04T18:02:11.410140,2024-09-04T18:02:11.410155
"-0.1095355449349773,0.7262273477804431,-0.959584535576451,-0.7662817327619618,-0.23623673252147692,0.9556986957760241,0.9004062967549351,0.9477968853817687,-0.6324973281491153,0.8504867160610139",2024-09-04T18:02:11.410170,2024-09-04T18:02:11.410175
"-0.8123720939161458,-0.611452566203966,0.5544915537433286,0.36738517254149694,0.0643356488142266,-0.35868799494858394,0.2120875501221937,-0.6629388140771302,0.16660232966149446,-0.7704414515970517",2024-09-04T18:02:11.410186,2024-09-04T18:02:11.410189
"0.33787393563350965,-0.14105842053997697,0.33223283274396853,0.9973729476004176,-0.63178607456455,0.09227255185046834,0.31587425280191117,-0.47837320175842235,-0.44971686982171644,-0.6334950085666329",2024-09-04T18:02:11.410201,2024-09-04T18:02:11.410204
"0.9634764127727862,-0.39388681910897416,0.76384561426173,-0.31185132367879587,0.5116751933362615,0.6917139323404098,-0.17618323787487444,-0.8617785049295932,0.7455999585430106,0.7552847622867107",2024-09-04T18:02:11.410215,2024-09-04T18:02:11.410223
"0.14073266488559244,-0.7406411730843847,0.43194406309166355,0.6436530847743391,-0.8826233836023367,-0.7946388334456447,0.4609784465789102,0.47519109239390134,-0.6256488732563557,-0.8292806521803535",2024-09-04T18:02:11.410235,2024-09-04T18:02:11.410238
"0.5351480907894937,0.3354395922424753,-0.5898808170330991,-0.6250145143579791,-0.9730735169250462,0.3918212828991954,0.37642905423995954,-0.5000534329187036,0.819860568722395,0.913472122887224",2024-09-04T18:02:11.410249,2024-09-04T18:02:11.410253
"0.45603485484346873,0.5531026838835393,-0.6935070765802716,-0.123175072148902,0.1041252987449468,-0.9090770132105168,0.4318873002195138,-0.1551455609295871,0.45357204042210175,0.17452962979041686",2024-09-04T18:02:11.410266,2024-09-04T18:02:11.410270
"0.9435133460554905,0.23900543122493811,-0.7184802830977652,0.029962255016694916,0.640478196183798,-0.8770662429227625,-0.687701912708873,0.04334945371675514,0.7743550643441397,-0.9308935885778573",2024-09-04T18:02:11.410282,2024-09-04T18:02:11.410285
"0.8733232225121002,0.18942655469386316,-0.19419630556947842,0.524937682779439,0.6528511398216479,0.781911137880039,-0.4149917574664137,0.5116366856843253,-0.6204762350267539,0.4367431310758154",2024-09-04T18:02:11.410297,2024-09-04T18:02:11.410300
"0.36223209520266453,0.9952942992593343,-0.014729466747799735,-0.8491228731053926,0.9409333246038813,0.9621445944049625,-0.1053545795479165,0.910553445086876,0.9142055280494068,0.15115735236563999",2024-09-04T18:02:11.410312,2024-09-04T18:02:11.410315
"-0.012633571615183747,-0.9160973304052391,-0.840214148408376,-0.5804287604162708,-0.039669387345711904,-0.3960667093751229,0.24949999323168082,-0.3218408501036354,-0.5176354467023201,0.43828437522105834",2024-09-04T18:02:11.410326,2024-09-04T18:02:11.410329
"-0.6053011227249909,0.42987334771862096,0.9973248951957563,0.09506913511994997,-0.3484335896251507,-0.8191128885839458,0.6291162508299433,-0.22405904556606204,-0.7323327211463464,0.4078066432705727",2024-09-04T18:02:11.410344,2024-09-04T18:02:11.410348
"-0.9305523329761176,0.7039648116257102,0.05003856421986663,-0.684136356130483,0.22077955185971665,-0.3082087380777627,0.054781722459376736,-0.43186198101580353,-0.8250714944468776,0.9888535337532953",2024-09-04T18:02:11.410359,2024-09-04T18:02:11.410362
"0.8138163489980685,0.043839698054648935,-0.1090250445787515,-0.8108702359588917,-0.727487710518318,0.598426226304799,0.6551385589641519,0.9976013182704098,-0.04773522038143785,0.74887582447442",2024-09-04T18:02:11.410373,2024-09-04T18:02:11.410376
"-0.07675813838062262,-0.00935260074610067,0.8064150877727656,0.646016118165992,0.9872640092598715,-0.41868652269771056,0.6696039787955061,0.05843907520649361,-0.32951003157735537,-0.6538983670521346",2024-09-04T18:02:11.410387,2024-09-04T18:02:11.410390
"0.2465766914621157,-0.7391394290592963,-0.2010996296722607,-0.5411463904363227,-0.3436372771887368,0.7098568249383022,-0.3723587819910428,-0.8855386995392502,-0.29489608076454354,-0.02831723033595379",2024-09-04T18:02:11.410401,2024-09-04T18:02:11.410404
"-0.04223793691722477,0.34504111324699727,-0.4497764603578369,-0.19010252095019675,0.7717959968386849,0.7214435511377368,-0.6301549645922262,-0.6539797102694345,0.3954817711886509,-0.4614635448508009",2024-09-04T18:02:11.410416,2024-09-04T18:02:11.410419
"0.6886635396343748,-0.19919651574315167,0.8721314163904474,-0.9080690997165057,-0.16406110030158794,0.7746104639564424,0.7496769749802357,0.06330604449155386,-0.8333489204388895,-0.48426408918715036",2024-09-04T18:02:11.410431,2024-09-04T18:02:11.410434
"-0.20891390685277833,-0.625632023353581,0.26252011633538963,-0.9121540808374022,0.8920653634732234,-0.15710088443455228,-0.7416808762341847,0.5216194613619336,0.6460957702548815,-0.4154711317726931",2024-09-04T18:02:11.410448,2024-09-04T18:02:11.410452
"0.03686602228562075,0.5640185303751415,0.9047479522144419,-0.3229174039173539,-0.5209665936739074,-0.03548091679412724,0.19018641823737936,0.1343496018503585,-0.19982163346575166,0.8143038943602168",2024-09-04T18:02:11.410464,2024-09-04T18:02:11.410467
"-0.9800282031264134,0.6942570533224459,-0.3937612407784101,0.7908988493661226,-0.589439801368794,-0.8271210407599194,0.1674891053773695,-0.692300190853421,-0.08382139949029299,-0.09363549170734897",2024-09-04T18:02:11.410478,2024-09-04T18:02:11.410481
"0.5726651930475604,0.8131930564319141,-0.8914313685670117,-0.39388404146891887,-0.9704092692021722,0.07375113607342332,0.267185278048542,0.1597205719416832,-0.31998109636304806,0.008580708603518783",2024-09-04T18:02:11.410492,2024-09-04T18:02:11.410496
"0.4873912081584244,-0.6564956196454679,0.02050637229881347,0.33595347777863815,-0.6191367342622303,0.5879656520877594,0.5757697666589288,0.16931102534889608,0.27997063458515226,-0.26090707445296224",2024-09-04T18:02:11.410506,2024-09-04T18:02:11.410510
"-0.005932704458634364,0.022758293329748325,0.5816097044635093,-0.4519297660237709,0.4508577806355736,0.10914210015335812,-0.08419724461103972,-0.11510988709516723,0.18401010306587096,0.8505506843784783",2024-09-04T18:02:11.410522,2024-09-04T18:02:11.410525
"0.323936057728222,0.8622877079831697,0.5127111516091221,-0.7611068813087893,-0.8812511305133728,-0.2627452459077211,0.4084786999265668,-0.6734180055165753,-0.8100044485296218,0.8803239350376078",2024-09-04T18:02:11.410537,2024-09-04T18:02:11.410541
"0.24106095693489427,-0.21789469798644356,-0.27694761762530407,0.6664905277205724,-0.8544920455922789,-0.48606980279236,0.14973203765937426,0.18095901451631824,-0.027611920442692783,-0.3277957181545079",2024-09-04T18:02:11.410551,2024-09-04T18:02:11.410555
"0.9463044051420131,0.7976676880735374,-0.08398057443194795,-0.8226485801582746,0.04897953033985325,-0.8772350830538407,0.807610632660694,-0.29670777536094284,-0.9543814558656578,0.6238756519576836",2024-09-04T18:02:11.410565,2024-09-04T18:02:11.410568
"-0.9096043037284081,-0.551320512907282,0.14507161323827833,-0.7363739306231583,-0.8304456355072454,0.6826855994064744,0.6596291037780311,0.5209007603558173,0.0633675530168567,-0.8649391779184212",2024-09-04T18:02:11.410578,2024-09-04T18:02:11.410581
"0.9773854473144159,-0.2576766893094522,0.23499160666033392,-0.4112538587994137,0.9782833644030595,-0.11234008477257151,0.1525697215920232,-0.510263847623182,0.22441925243981786,0.24821268377454486",2024-09-04T18:02:11.410591,2024-09-04T18:02:11.410595
"0.9103419626951625,0.6396217774797839,0.689474638187165,-0.3494690516724168,0.1392734842016392,0.5802806912599168,0.26348965764034205,0.392704768715356,-0.6450059496709244,0.34274893031219555",2024-09-04T18:02:11.410606,2024-09-04T18:02:11.410610
"0.3500211384917089,-0.6439063207422075,-0.5858943095619928,-0.5678716549658533,-0.04399788894380596,-0.11800398054855687,-0.889083170362631,-0.3625456911649154,-0.9623203137136991,-0.49810440435257797",2024-09-04T18:02:11.410623,2024-09-04T18:02:11.410626
"-0.20623535996020115,0.8768115956288312,0.01077019321037409,0.9911618220236345,-0.37259323268626243,-0.9281073035698699,0.12453732577169885,0.3918839857173715,0.29465577798752296,-0.5899415100164918",2024-09-04T18:02:11.410637,2024-09-04T18:02:11.410640
"-0.9478534283773246,-0.8518446969308706,0.10480310400767623,0.29783137804370163,-0.9058555240967945,0.0887068566127025,-0.41490639490852166,-0.9296939220787535,0.7733392184250545,0.20112003931432576",2024-09-04T18:02:11.410651,2024-09-04T18:02:11.410655
"-0.8329415474791102,0.633249920375603,0.05289524972740267,0.3500152627115303,-0.3185458769108398,-0.7030885195068981,0.7220769695821505,0.09211320529471378,0.5140343896962662,-0.7810853114029164",2024-09-04T18:02:11.410666,2024-09-04T18:02:11.410669
"-0.14185459537846645,0.7220427776024123,-0.1497500475281417,0.07805047550850208,0.820625401011404,0.27253666027180024,0.1978459804887911,0.3789259756652996,-0.595095455814151,0.5258275915511741",2024-09-04T18:02:11.410680,2024-09-04T18:02:11.410684
"0.7928811274004979,-0.7499086726741426,-0.5111110614652858,0.18863351850029408,-0.017018499767955664,0.19909542425098015,0.12696483301039296,-0.249307483081326,0.5110621596707368,0.13432049898531728",2024-09-04T18:02:11.410695,2024-09-04T18:02:11.410698
"0.9745181221002599,-0.35689708204066006,-0.12868208830899075,-0.059427052444912976,0.405826224356872,-0.9360301563578022,-0.5539401659244843,-0.38854566100235566,0.8414643778327762,0.7860781167086699",2024-09-04T18:02:11.410712,2024-09-04T18:02:11.410716
"-0.8184247772392281,-0.36080348428504916,0.7454206446102041,0.4283540358728122,-0.4992802649000945,0.012033471029907261,0.05485115117645778,0.4846319008954325,0.893141861603318,0.2993117321324139",2024-09-04T18:02:11.410726,2024-09-04T18:02:11.410730
"0.46123233876157466,0.2049393517548055,-0.3694866423942045,0.41538833111369944,-0.5913321097769366,-0.7887175017492156,-0.24890524402038294,-0.24852621629698257,0.2406529805161599,0.8401906986325618",2024-09-04T18:02:11.410740,2024-09-04T18:02:11.410744
"0.07892494132035965,0.6729474500194605,-0.9784467889063013,-0.6647844815539763,0.04826880742075579,0.27666643413787173,0.09334321906146514,-0.8998951386641509,0.4952820114611216,0.045850902741133126",2024-09-04T18:02:11.410754,2024-09-04T18:02:11.410758
"-0.8555188565311451,0.39731159087460566,-0.8834318131202115,0.4781507457517422,-0.6292240461056242,0.19933726068035007,-0.47373191296492334,-0.5683319489785044,-0.5658289066072961,-0.6982164834774525",2024-09-04T18:02:11.410770,2024-09-04T18:02:11.410773
"0.35572452107770625,-0.7356147659427961,0.9189803268578736,-0.6133627160504271,-0.6204860442749836,-0.46963987986827793,-0.8191851479536743,0.10325633882900043,-0.7880205617644094,0.13316789068031998",2024-09-04T18:02:11.410784,2024-09-04T18:02:11.410787
"0.6584802163427699,-0.10993908207977943,0.032803411873143506,-0.04336821957235104,0.229730246551078,-0.6890602932817083,0.9935683049944053,-0.9937353972432059,0.906563456702268,-0.1266961358949259",2024-09-04T18:02:11.410805,2024-09-04T18:02:11.410808
"-0.49115825054862383,-0.6277548735884557,0.8984693640152535,-0.8810973967222846,-0.5168207497713901,0.8893267270165015,0.8516734502789953,-0.2896874053460865,0.7572458160989903,-0.7296712317422971",2024-09-04T18:02:11.410819,2024-09-04T18:02:11.410823
"0.1797374119243973,0.07886710915483275,-0.7072415691203735,-0.7347290902309622,0.9385323053898669,-0.32859293765467457,-0.7921804031459969,0.5389268610961164,-0.8893566059571398,0.3882450921857399",2024-09-04T18:02:11.410834,2024-09-04T18:02:11.410837
"0.17068263113696447,0.30059378015016014,0.9583194232025081,0.32517447223829143,-0.685444453581763,0.9726102673482335,0.8860443110805949,0.2466566793128815,0.8222732012080942,-0.7024651508424236",2024-09-04T18:02:11.410848,2024-09-04T18:02:11.410851
"-0.4067540550402997,-0.7646502257247896,0.5681939356441204,-0.25654706177222675,-0.1808807662152223,-0.7278619590026598,0.20720647756788568,0.04724622877843587,0.7605346441316694,-0.5832735545277803",2024-09-04T18:02:11.410862,2024-09-04T18:02:11.410865
"0.5600003240594438,0.30648742023919784,-0.8265181532133048,0.4800512046735801,-0.6180682540705027,-0.5719393097809715,-0.3798271098896173,-0.5193250900066175,-0.7956032887346591,-0.883065335493608",2024-09-04T18:02:11.410876,2024-09-04T18:02:11.410879
"0.05405864214493539,-0.7370109380040522,-0.7298948058743844,-0.14231601325656662,-0.5581261991569484,-0.007514916584230091,-0.8215459991420202,0.17102503974947592,-0.5355820864999941,-0.7047364667447467",2024-09-04T18:02:11.410890,2024-09-04T18:02:11.410894
"0.4745075213148413,0.42544835853785345,-0.027070280888014997,0.23797872712212276,-0.8169894090774379,-0.6356846157159997,-0.6027764675135476,-0.5004674222550327,0.09070681725957219,-0.8755834808247447",2024-09-04T18:02:11.410907,2024-09-04T18:02:11.410910
"-0.3362042882825258,-0.4843158185571814,0.5984201934003563,0.12694455852264808,-0.8236818992168222,-0.7487672294753323,-0.694529745847821,0.6520292834955457,-0.7075303752235356,0.5843985003937426",2024-09-04T18:02:11.410924,2024-09-04T18:02:11.410928
"-0.4751932033512736,0.7596015888938845,0.7911279744384478,0.16320783986470455,0.19646845612539932,-0.7573365880670406,-0.7925275767726301,-0.31840172118333654,0.206208363755771,-0.7321075866685243",2024-09-04T18:02:11.410939,2024-09-04T18:02:11.410942
"0.7701480252602697,-0.9815429485882237,-0.02225275960558437,0.6836086941435848,-0.9253871811047689,-0.9786929366899768,0.7221891956822861,0.5012770760859637,0.8773874725866884,-0.46800181015689635",2024-09-04T18:02:11.410954,2024-09-04T18:02:11.410957
"-0.4831972604924528,0.2821162606052201,-0.7739165964123413,0.14712811368742318,0.6408571966730703,-0.9684137936159853,0.6977472067953092,-0.015368663465201049,-0.1190322424756558,0.2714894538531605",2024-09-04T18:02:11.410968,2024-09-04T18:02:11.410971
"0.4013519810510717,-0.5565042431703935,-0.7793586384968088,0.3120327688703082,0.27943777686223603,-0.019232705284763618,-0.304999546855812,0.20900259367024376,-0.9835314691320842,-0.071137235475639",2024-09-04T18:02:11.410982,2024-09-04T18:02:11.410985
"0.7807744264365875,-0.7311160492938149,0.3143970272157286,-0.14407158146102983,-0.9977422744704973,0.08086631993898563,-0.8214097148930422,-0.8517919829384095,0.20444968016846388,0.7048839341044006",2024-09-04T18:02:11.410996,2024-09-04T18:02:11.410999
"-0.19705757324837903,0.983359937955391,0.9108213933224363,-0.9993432595036216,-0.4487661238766085,0.6388052108148443,-0.5877140749900214,0.9577797684896554,0.7508386829836093,0.6832535935427666",2024-09-04T18:02:11.411010,2024-09-04T18:02:11.411013
"0.19926880022476068,-0.2260566952005152,-0.3590007726634812,0.2970171652115312,-0.40155284535453206,-0.8996066156631572,0.20868889131960322,0.3140866155438222,-0.5039747603254987,-0.7215522855830634",2024-09-04T18:02:11.411027,2024-09-04T18:02:11.411031
"-0.24971792889024425,0.013439323474175868,-0.8554736363763329,0.07958327273149313,-0.019157587020196543,-0.5932169118533341,-0.44885671541495453,0.08998417214737175,0.44894104650349287,0.7697874707522843",2024-09-04T18:02:11.411042,2024-09-04T18:02:11.411046
"0.3254831497342834,-0.11653931732777578,0.14028440301006784,-0.26302269550518775,-0.2381712143540755,-0.6806210363321892,-0.858721318455693,0.750641931464251,0.4541057245047151,-0.19300509283549672",2024-09-04T18:02:11.411057,2024-09-04T18:02:11.411060
"-0.6806256881322887,-0.584058926556762,-0.6980507724685434,0.3248927527849581,-0.2971224518205573,0.4679347389300865,-0.9800771121072034,0.9171776834063012,-0.8163888268086115,-0.9840800354097186",2024-09-04T18:02:11.411071,2024-09-04T18:02:11.411075
"-0.9725489143199559,-0.9393346048770164,0.5983824783307774,0.9710712763004856,0.9581004378635367,0.9342776570358677,-0.8803893713938657,0.4886033632169784,-0.7253870563316427,-0.9054513518627685",2024-09-04T18:02:11.411087,2024-09-04T18:02:11.411091
"0.4513616137671763,-0.3975797301268482,-0.9532753495504853,-0.6010320907634312,0.7282950817331633,0.754819011044739,0.21902433428692825,0.38914081395931266,0.32377831134100066,0.09916579764101785",2024-09-04T18:02:11.411104,2024-09-04T18:02:11.411107
"0.5468550222580637,0.23859810448983354,-0.29019947924194045,0.8525771445398789,-0.22466199981408508,0.6356239341565897,-0.6241678634172592,0.21017870882537015,0.7170757688724669,0.7854019516499893",2024-09-04T18:02:11.411118,2024-09-04T18:02:11.411122
"-0.030609198061776643,0.10767508224399802,0.8753948332914281,-0.36058107711113996,0.18229362697922613,-0.12612139612048412,-0.29065759851800554,0.8129165593585224,0.8975003679800964,-0.3099084631729099",2024-09-04T18:02:11.411133,2024-09-04T18:02:11.411136
"0.7739070432574211,-0.478894053041073,-0.8723181237178288,0.041440827564831695,0.5731420002963392,0.8804901894084212,0.3740567974125599,-0.19993275078262807,-0.2675409436639924,0.8342635295613063",2024-09-04T18:02:11.411147,2024-09-04T18:02:11.411150
"0.705798880876271,-0.10416481902587837,-0.990858476572726,0.23768903836100375,0.4713847075682349,-0.6966782129869236,0.938708599444978,0.8179990136654456,0.4299164694473563,-0.31406394404003724",2024-09-04T18:02:11.411161,2024-09-04T18:02:11.411164
"-0.9412179475541846,-0.1159427852377728,0.05814527629540511,0.5509966867812195,-0.033230507459254044,-0.9791501357489565,-0.3583271718261518,0.16486989219780246,0.14357192414032593,-0.2579733313542807",2024-09-04T18:02:11.411175,2024-09-04T18:02:11.411178
"-0.5231127745493407,-0.5070101941816343,0.76431639814177,-0.5044749529867176,-0.07292922588539108,-0.6409824638531474,-0.2175984822771755,0.7299040661937537,0.4171617989876484,-0.7622230301736788",2024-09-04T18:02:11.411189,2024-09-04T18:02:11.411192
"0.2768341511400001,0.7964832620606386,-0.8588449108249196,-0.7582161624220236,-0.43392447237968534,0.20773584213298757,-0.8362675154336388,0.5068385407459379,-0.7548336804048399,0.26776977794931023",2024-09-04T18:02:11.411202,2024-09-04T18:02:11.411206
"-0.7388005733840157,0.18415106246903945,0.6997636564625394,0.11496398354325166,0.6815860870117967,-0.03462876176005225,-0.16228011010855825,-0.4775318781543272,-0.257636843394228,-0.44448397905344406",2024-09-04T18:02:11.411216,2024-09-04T18:02:11.411219
"-0.919698244850685,-0.5619560862534136,0.7173449385629083,0.9133022225537828,-0.8519091989913756,-0.5386199002899039,-0.5313333982106172,0.883562047543426,-0.06814508401420216,-0.87924707108335",2024-09-04T18:02:11.411230,2024-09-04T18:02:11.411234
"0.2035068566538769,0.1493523464529547,-0.38144278248547137,0.2460814697624314,-0.6713442503079541,0.4349347567193256,0.5258177723708,0.9076002270892263,0.48619725852178464,0.1988523027968132",2024-09-04T18:02:11.411244,2024-09-04T18:02:11.411248
"-0.2603337335083462,-0.6274379309574183,0.9903098856327501,0.4006155294660285,0.09436510966861622,-0.8646348239354582,-0.49750718924087445,0.6092325078820289,-0.1532069673289962,0.6758957625861728",2024-09-04T18:02:11.411263,2024-09-04T18:02:11.411266
"-0.16654918035038957,-0.23024933702576367,-0.4549247643653731,0.513524387444394,-0.35289917120929193,-0.8055567632659246,-0.5429587704234631,-0.7691608043894822,0.8262205089326042,0.4902385468392565",2024-09-04T18:02:11.411277,2024-09-04T18:02:11.411280
"-0.4242558230282867,0.8282506611080191,-0.1602224034737738,-0.2298476005759149,0.9251629734653826,0.97375435976287,0.8645165242147281,0.053591593868265175,0.9981121091866518,0.5616322619218437",2024-09-04T18:02:11.411294,2024-09-04T18:02:11.411298
"-0.9696146069370359,-0.9514294992491026,0.8947267700504584,0.6535233216445764,0.19911902195454978,0.2710747629742454,-0.496881586663132,-0.3008107202264161,-0.6924009423367596,-0.16413696407322864",2024-09-04T18:02:11.411309,2024-09-04T18:02:11.411313
"-0.2548233361207286,0.6379968394399433,-0.44009823854497454,0.3975528209511967,-0.24096453697693931,-0.11520699766831721,-0.5271968656373949,0.15892162375828778,-0.21144127238204935,-0.02880193234829931",2024-09-04T18:02:11.411324,2024-09-04T18:02:11.411327
"-0.24023709039011276,0.19326436861463514,0.37348345222880086,0.5856741729147861,0.004234930619527066,0.10201485744066718,0.7889121415867906,0.6374112969649024,0.7628856813554687,0.22425332253846286",2024-09-04T18:02:11.411338,2024-09-04T18:02:11.411341
"0.4676257129598764,0.8535279892582104,0.3502555757489705,0.5617269914619447,0.35354405529425104,-0.2843442608535629,0.4672103323189145,0.8463503689965306,0.3289851791246037,-0.7204492246505569",2024-09-04T18:02:11.411352,2024-09-04T18:02:11.411355
"0.4966095460719253,0.4125422238855292,-0.2961573586028692,0.6675265225657463,0.983748187163977,0.5076750232357607,0.4308141766524558,-0.5212726450520779,-0.6358479526609113,0.15835794945489323",2024-09-04T18:02:11.411366,2024-09-04T18:02:11.411369
"0.5437397716215386,0.9013291867803277,-0.30334104218705016,-0.5982431345037491,0.1287827808820281,-0.5574652171007823,0.41118073995397064,0.9392554717425177,-0.3916479294303603,0.5969718745849077",2024-09-04T18:02:11.411380,2024-09-04T18:02:11.411384
"0.31155918660795967,-0.9658715318899576,-0.6340345471973929,0.6541475250330435,0.4324756191768637,0.7394622462668827,0.34669261020926534,0.6449629598152176,-0.5438651957136984,0.7284232095629686",2024-09-04T18:02:11.411394,2024-09-04T18:02:11.411398
"0.9070336258659266,0.3584995777390394,0.12903513722409676,-0.7582675616002428,-0.26225058367711784,0.8887268951598533,0.22526015611522698,0.6073239862379387,-0.838674133032375,0.05060154801259453",2024-09-04T18:02:11.411408,2024-09-04T18:02:11.411412
"0.5269613935524884,-0.6898854863380408,-0.42083524815978546,-0.5247701656300483,-0.6605044443580359,0.11693054386588853,0.7365175689655448,0.46758099488066796,0.08164123883531671,-0.5288496383872807",2024-09-04T18:02:11.411422,2024-09-04T18:02:11.411426
"-0.9912705413427634,0.9892580281610712,-0.505770616007617,0.5078748189815356,0.6207552000014787,-0.9559816207995036,0.2153530986403347,0.5208111819959387,-0.06761862352640358,0.17051069642195915",2024-09-04T18:02:11.411436,2024-09-04T18:02:11.411439
"-0.7260967021815181,-0.8145255846207742,-0.5894507762280374,-0.8569720978327344,0.418165060727989,-0.950603100986358,0.7581880728589272,0.2292124383094356,-0.4787862590141876,0.052618080681917645",2024-09-04T18:02:11.411509,2024-09-04T18:02:11.411517
"-0.05583284579750991,0.09295890375245897,0.43775657350357244,-0.023073875246089504,-0.40928440729592186,0.04988810665632215,0.5607889306678078,0.37376984227454324,-0.2005376682541926,-0.10066549529686664",2024-09-04T18:02:11.411533,2024-09-04T18:02:11.411538
"0.8150967894303252,-0.07762070551024514,-0.4020999801571228,0.6857352247207664,0.39438832782684385,-0.789270985179106,-0.27979107797007274,-0.48504335879884697,0.2667002997576904,-0.16494897289158073",2024-09-04T18:02:11.411549,2024-09-04T18:02:11.411553
"0.6511544135308671,-0.5472320229228327,-0.1873505782210778,0.24814043338150693,0.6588025384416529,-0.8709774818892146,-0.15975878496418394,0.20875517505434904,-0.6440115478787667,0.26932235764942636",2024-09-04T18:02:11.411567,2024-09-04T18:02:11.411571
"0.2580773001662302,-0.6989940407194126,0.4598523782752819,-0.034829458693932835,0.6136392359137204,-0.09347598567561244,-0.7659917060550054,0.8178741264946827,0.8291628468844354,0.7616746749141781",2024-09-04T18:02:11.411582,2024-09-04T18:02:11.411585
"0.008296138986007229,-0.6050354130665745,-0.0295864600268827,-0.03208221168966774,0.8914845192335676,-0.20785353383660965,-0.3420175906284044,0.9908581348557348,-0.9277149730764831,0.27375594144885773",2024-09-04T18:02:11.411596,2024-09-04T18:02:11.411699
"-0.8942931829176313,-0.03187768197279173,0.9495276305898646,-0.8579748108054712,-0.8588652913168733,-0.7271638461274108,0.7091598434262956,0.5814590483833146,-0.5442309551624767,-0.14479679904292309",2024-09-04T18:02:11.411725,2024-09-04T18:02:11.411729
"-0.8561463520273456,-0.568520937545345,-0.053823004333386715,-0.5823000409038195,0.38759930385042307,-0.6094622379708488,-0.5255818827468153,0.32041250720676717,0.9092875933796072,0.27743018814065046",2024-09-04T18:02:11.411740,2024-09-04T18:02:11.411744
"-0.502825651098755,0.26471195827016336,-0.794374774333406,0.5777846927375754,0.9672667884442239,-0.07014287592758084,-0.6136007892489812,-0.6854221769235569,0.6793993059635342,-0.7632537401292103",2024-09-04T18:02:11.411754,2024-09-04T18:02:11.411758
"0.18278991893548135,0.5626871625642875,-0.8580930548602239,-0.9528572661297599,-0.58164719674731,-0.7736566175732233,-0.8911346969100906,-0.1963950939632606,0.7168183332136662,-0.2672923415110875",2024-09-04T18:02:11.411769,2024-09-04T18:02:11.411772
"-0.519031182830872,0.024425460854825776,-0.9602366130784086,0.6389200521854683,0.41719635257881205,-0.6670597112693013,0.6440108311912074,-0.7202444897262346,0.3863943888813266,-0.17195060827002018",2024-09-04T18:02:11.411783,2024-09-04T18:02:11.411786
"0.5509804370833431,-0.8482651164826229,0.8876921133789597,0.873808499646533,0.7183954799134824,-0.9989836407871793,-0.12955459734327057,-0.5523709608540666,0.23166580361999345,0.9801470540255208",2024-09-04T18:02:11.411797,2024-09-04T18:02:11.411801
"-0.44489394308262886,-0.4182127041914918,0.9594394742495771,-0.21354384794770342,0.3371584779296395,-0.9239409652816144,-0.4388104123379628,0.654804213298632,0.7063115586554678,-0.36328753223362886",2024-09-04T18:02:11.411811,2024-09-04T18:02:11.411815
